Title,Cast and crew,genres,title_year,imdb_score,plot_keywords,language,movie_title
Terminal,"Vaughn Stein (director/screenplay); Margot Robbie, Simon Pegg, Dexter Fletcher, Max Irons, Mike Myers","Crime, Drama, Thriller, Action, Comedy, Mystery",2018,,"assassin, double life, revenge, criminal mastermind, pulp, neo-noir, fatal",en,Terminal
Deadpool 2,"David Leitch (director); Rhett Reese, Paul Wernick, Ryan Reynolds (screenplay); Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz, T.J. Miller, Brianna Hildebrand, Jack Kesy","Action, Comedy, Adventure",2018,,"hero, superhero, mutant, mercenary, based on comic, sequel, breaking the fourth wall, aftercreditsstinger, duringcreditsstinger, joyful",en,Deadpool 2
Show Dogs,"Raja Gosnell (director); Max Botkin, Marc Hyman (screenplay); Will Arnett, Ludacris, Natasha Lyonne, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Stanley Tucci","Adventure, Crime, Family, Comedy",2018,,"undercover, rottweiler, las vegas, dog, police dog, dog show, buddy cop, buddy comedy",en,Show Dogs
Book Club,"Bill Holderman (director/screenplay); Erin Simms (screenplay); Diane Keaton, Jane Fonda, Candice Bergen, Mary Steenburgen","Horror, Thriller",2023,,"based on novel or book, slasher, killer clown",es,Book Club
First Reformed,"Paul Schrader (director/screenplay); Ethan Hawke, Amanda Seyfried, Cedric the Entertainer",Drama,2018,,"suicide, funeral, explosive, faith, christianity, widow, despair, pregnancy, pastor, climate change, diary, minister, global warming, god, priest, cancer, religion, morality, church, alcoholic, environment, guilt, eco terrorism, ex-wife, environmentalism, reverend, crisis of faith, abortion, fatalism, upstate new york, provocative, religious themes, religious guilt",en,First Reformed
Fahrenheit 451,"Ramin Bahrani (director/screenplay); Amir Naderi (screenplay); Michael B. Jordan, Michael Shannon, Sofia Boutella, Khandi Alexander, Lilly Singh, Raoul Bhaneja, Martin Donovan, Andy McQueen, Dylan Taylor, Grace Lynn Kung, Ted Whittall, Ted Dykstra, Keir Dullea, Daniel Zolghadri, Drew Nelson, Lynne Griffin, Joe Pingue, Mayko Nguyen, Saad Siddiqui, Jane Moffat, Aaron Davis, Cindy Katz","Drama, Science Fiction, Thriller",2018,,"based on novel or book, dystopia, book burning, remake, flamethrower, near future, pathetic, ridiculous",en,Fahrenheit 451
Solo: A Star Wars Story,"Ron Howard (director); Jonathan Kasdan, Lawrence Kasdan (screenplay); Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Thandiwe Newton, Phoebe Waller-Bridge, Joonas Suotamo, Paul Bettany","Science Fiction, Adventure, Action",2018,,"spacecraft, smuggling (contraband), prequel, spin off, space opera",en,Solo: A Star Wars Story
How to Talk to Girls at Parties,"John Cameron Mitchell (director/screenplay); Philippa Goslett (screenplay); Elle Fanning, Alex Sharp, Nicole Kidman, Ruth Wilson, Matt Lucas","Comedy, Music, Romance, Science Fiction",2017,,"galaxy, london, england, 1970s, punk rock, alien, based on short story, croydon",en,How to Talk to Girls at Parties
In Darkness,"Anthony Byrne (director/screenplay); Natalie Dormer (screenplay); Natalie Dormer, Ed Skrein, Emily Ratajkowski, Joely Richardson, Olegar Fedoro","Drama, War",2011,,"nazi, refugee, thief, sewer, woman director",de,In Darkness
Future World,"James Franco (director); Bruce Thierry Cheung (director/screenplay); Jay Davis (screenplay); James Franco, Suki Waterhouse, Jeffrey Wahlberg, Margarita Levieva, Snoop Dogg, Twin Shadow, Method Man, Lucy Liu, Milla Jovovich",Science Fiction,2018,,"android, post-apocalyptic future, robot",en,Future World
The Tale,"Jennifer Fox (director/screenplay); Laura Dern, Ellen Burstyn, Jason Ritter, Elizabeth Debicki, Isabelle Nélisse, Common, Frances Conroy, John Heard, Jodi Long, Tina Parker, Laura Allen, Isabella Amara, Juli Erickson, Chelsea Alden, Scott Takeda, Noah Lomax, Grant James, Jaqueline Fleming, Matthew Rauch, Aaron Williamson, Daniel Berson, Jessica Sarah Flaum, Shay Lee Abeson, Gretchen Koerner","Drama, Mystery",2018,,"investigation, based on true story, memory, childhood sexual abuse, woman director, survive",en,The Tale
Action Point,"Tim Kirkby (director); John Altschuler, Dave Krinsky (screenplay); Johnny Knoxville, Chris Pontius",Comedy,2018,,"amusement park, aftercreditsstinger, duringcreditsstinger, action point",en,Action Point
Adrift,"Baltasar Kormákur (director); Aaron Kandell, Jordan Kandell, David Branson Smith (screenplay); Shailene Woodley, Sam Claflin","Thriller, Romance, Adventure",2018,,"sailboat, marriage proposal, boat, hurricane, sailing, vegetarian, based on true story, tahiti, survival, couple",en,Adrift
Upgrade,"Leigh Whannell (director/screenplay); Logan Marshall-Green, Betty Gabriel, Harrison Gilbertson","Action, Thriller, Science Fiction",2018,,"future, artificial intelligence (a.i.), hacker, police, technology, cyborg, dystopia, revenge, murder, drone, cyberpunk, transhumanism, brutality, implant, surgery, quadriplegic, near future, body enhancement, body horror, violence, microship, android horror",en,Upgrade
American Animals,"Bart Layton (director/screenplay); Evan Peters, Barry Keoghan, Blake Jenner, Jared Abrahamson, Udo Kier, Ann Dowd","Drama, Crime, Documentary",2018,,"new york city, art collector, library, pennsylvania, usa, artist, kentucky, final exam, arrest, based on true story, heist, travel, university, theft, disguise, unreliable narrator",en,American Animals
Social Animals,"Theresa Bennett (director/screenplay); Noël Wells, Josh Radnor, Aya Cash, Carly Chaikin, Fortune Feimster, Samira Wiley","Comedy, Romance",2018,,"male prostitution, twins, divorce, extramarital affair, lice, woman director, singing in a car",en,Social Animals
Ocean's 8,"Gary Ross (director/screenplay); Olivia Milch (screenplay); Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling, Sarah Paulson, Awkwafina, Rihanna, Helena Bonham Carter","Crime, Comedy, Action",2018,,"new york city, heist, spin off, estranged sister, the met gala, amused, cliché",en,Ocean's 8
Won't You Be My Neighbor?,"Morgan Neville (director); Fred Rogers, François Clemmons, Yo-Yo Ma, Joe Negri, David Newell, Tom Junod, Joanne Rogers",Documentary,2018,,"puppeteer, biography, childhood, puppet show, tv host, tv show set",en,Won't You Be My Neighbor?
Hereditary,"Ari Aster (director/screenplay); Toni Collette, Alex Wolff, Milly Shapiro, Ann Dowd, Gabriel Byrne","Horror, Mystery, Thriller",2018,,"daughter, funeral, loss of loved one, ritual, supernatural, possession, cult, dysfunctional family, murder, family drama, fear, demon, attic, evil, ritual murder, demonic possession, satanic ritual, dollhouse, satanic cult, séance, matriarch, miniatures, coven, didactic, sinister",en,Hereditary
Hotel Artemis,"Drew Pearce (director/screenplay); Jodie Foster, Sterling K. Brown, Sofia Boutella, Jeff Goldblum, Brian Tyree Henry, Jenny Slate, Zachary Quinto, Charlie Day, Dave Bautista","Thriller, Science Fiction, Action, Crime, Drama",2018,,"hotel, nurse, dystopia, orderly, street riots, riot, agoraphobia, los angeles, california, death of son, riot police, near future, clandestine hospital, 2020s",en,Hotel Artemis
Superfly,"Director X (director); Alex Tse (screenplay); Trevor Jackson, Jason Mitchell, Michael K. Williams, Lex Scott Davis, Jennifer Morrison","Action, Crime",2018,,"corruption, police, gambling, nightclub, arrest, money, biting, cynical, driving, revolver, aggressive, malicious, cautionary, dramatic, suspenseful, tense, antagonistic, bold, callous",en,Superfly
Incredibles 2,"Brad Bird (director/screenplay); Craig T. Nelson, Holly Hunter, Sarah Vowell, Huckleberry Milner, Samuel L. Jackson, Bob Odenkirk, Catherine Keener, Jonathan Banks, Brad Bird, Sophia Bush, Phil LaMarr, Paul Eiding, Isabella Rossellini, John Ratzenberger, Barry Bostwick, Jere Burns, Adam Rodriguez, Usher, Eli Fucile","Action, Adventure, Animation, Family",2018,,"married couple, superhero, cartoon, villain, sequel, parenting, family, super power, female villain, supervillain",en,Incredibles 2
Tag,"Jeff Tomsic (director); Rob McKittrick, Mark Steilen (screenplay); Ed Helms, Jake Johnson, Annabelle Wallis, Hannibal Buress, Isla Fisher, Rashida Jones, Leslie Bibb, Jon Hamm, Jeremy Renner","Comedy, Action",2018,,"based on true story, travel, game, group of friends, classmates",en,Tag
Gotti,"Kevin Connolly (director); Lem Dobbs, Leo Rossi (screenplay); John Travolta, Spencer Lofranco, Pruitt Taylor Vince, Stacy Keach, Chris Mulkey, William DeMeo, Kelly Preston","Crime, Drama, History, Thriller",2018,,"gangster, 1970s, loyalty, biography, betrayal, organized crime, godfather, crime syndicate, mob",en,Gotti
Jurassic World: Fallen Kingdom,"J. A. Bayona (director); Derek Connolly, Colin Trevorrow (screenplay); Chris Pratt, Bryce Dallas Howard, Rafe Spall, Toby Jones, Ted Levine, BD Wong, Jeff Goldblum","Action, Adventure, Science Fiction, Thriller",2018,,"tyrannosaurus rex, volcano, rescue mission, sequel, wild animal, prehistoric creature, dinosaur, genetic engineering, aftercreditsstinger, monster island",en,Jurassic World: Fallen Kingdom
Boundaries,"Shana Feste (director/screenplay); Vera Farmiga, Christopher Plummer, Lewis MacDougall, Bobby Cannavale, Kristen Schaal, Christopher Lloyd, Peter Fonda","Comedy, Drama",2018,,"road trip, family relationships, marijuana, estranged father, stray dog, admiring, adoring, amused, appreciative, enchant",en,Boundaries
Damsel,"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska","Western, Drama, Comedy",2018,,"black humor, alcohol abuse, american wilderness, 19th century, far west, oregon trail, grieving man, american frontier",en,Damsel
The Domestics,"Mike P. Nelson (director/screenplay); Tyler Hoechlin, Kate Bosworth, Lance Reddick, Sonoya Mizuno, Dana Gourrier, Thomas Francis Murray, David Dastmalchian","Horror, Thriller",2018,,"husband wife relationship, post-apocalyptic future, gang, cannibal, survive",en,The Domestics
