Title,Cast and crew,genres,title_year,imdb_score,plot_keywords,language,movie_title
The Girl in the Spider's Web,"Fede Álvarez (director/screenplay); Jay Basu, Steven Knight (screenplay); Claire Foy, Sverrir Gudnason, LaKeith Stanfield, Sylvia Hoeks, Stephen Merchant","Action, Crime, Thriller",2018,,"hacker, based on novel or book, sweden, stockholm, sweden, sequel, computer expert, millennium, computer programmer, gifted children, father daughter relationship, sister sister relationship",en,The Girl in the Spider's Web
Overlord,"Julius Avery (director); Billy Ray, Mark L. Smith (screenplay); Jovan Adepo, Wyatt Russell, Mathilde Ollivier, John Magaro, Gianny Taufer, Pilou Asbæk, Bokeem Woodbine, Iain De Caestecker","Drama, History, War",1975,,"world war ii, d-day, black and white, london blitz",en,Overlord
The Ballad of Buster Scruggs,"Coen brothers (directors/screenplay); Tyne Daly, James Franco, Brendan Gleeson, Bill Heck, Grainger Hines, Zoe Kazan, Harry Melling, Liam Neeson, Tim Blake Nelson, Jonjo O'Neill, Chelcie Ross, Saul Rubinek, Tom Waits","Western, Comedy, Drama, Music, Mystery, Romance",2018,,"prostitute, native american, parody, anthology, bank robbery, stagecoach, cowboy, wagon train, singing cowboy, american west, the old west",en,The Ballad of Buster Scruggs
Lazer Team 2,"Daniel Fabelo, Matt Hullum (directors/screenplay); Burnie Burns (screenplay); Burnie Burns, Gavin Free, Michael Jones, Colton Dunn, Nichole Sakura, Allie DeBerry","Science Fiction, Action, Adventure, Comedy",2017,,"galaxy, kidnapping, sequel, alien, file",en,Lazer Team 2
Fantastic Beasts: The Crimes of Grindelwald,"David Yates (director); J. K. Rowling (screenplay); Eddie Redmayne, Katherine Waterston, Dan Fogler, Alison Sudol, Ezra Miller, Zoë Kravitz, Callum Turner, Claudia Kim, Jude Law, Johnny Depp","Fantasy, Adventure",2018,,"witch, new york city, paris, france, magic, school of witchcraft, sequel, prison escape, old flame, wizard, magical creature, 1920s, based on young adult novel, good versus evil, dark magic, follower",en,Fantastic Beasts: The Crimes of Grindelwald
Widows,"Steve McQueen (director/screenplay); Gillian Flynn (screenplay); Viola Davis, Michelle Rodriguez, Elizabeth Debicki, Cynthia Erivo, Colin Farrell, Brian Tyree Henry, Daniel Kaluuya, Jacki Weaver, Carrie Coon, Robert Duvall, Liam Neeson","Crime, Thriller, Drama",2018,,"chicago, illinois, politics, politician, heist, flashback, remake, money, betrayal, mob boss",en,Widows
Green Book,"Peter Farrelly (director/screenplay); Nick Vallelonga, Brian Hayes Currie (screenplay); Viggo Mortensen, Mahershala Ali, Linda Cardellini","Drama, History",2018,,"friendship, southern usa, road trip, racism, pianist, driver, lgbt, road movie, music tour, 1960s, roadtrip, gay theme, feel good",en,Green Book
Instant Family,"Sean Anders (director/screenplay); John Morris (screenplay); Mark Wahlberg, Rose Byrne, Isabela Merced, Margo Martindale, Julie Hagerty, Octavia Spencer","Comedy, Drama",2018,,"court case, social worker, adoption, based on true story, parenting, foster family, amusement park, lgbt, substance abuse, family dog, comforting",en,Instant Family
Ralph Breaks the Internet,"Rich Moore (director); Phil Johnston (director/screenplay[220]); Pamela Ribon (screenplay[220]); John C. Reilly, Sarah Silverman, Gal Gadot, Jane Lynch, Jack McBrayer, Alan Tudyk, Alfred Molina, Ed O'Neill, Taraji P. Henson","Family, Animation, Comedy, Adventure",2018,,"video game, cartoon, sequel, internet, lethal virus, aftercreditsstinger, duringcreditsstinger, online gaming, admiring",en,Ralph Breaks the Internet
Creed II,"Steven Caple Jr. (director); Juel Taylor, Sylvester Stallone (screenplay); Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Wood Harris, Phylicia Rashad, Florian Munteanu, Dolph Lundgren","Drama, Action",2018,,"sports, rivalry, sequel, los angeles, california, boxing, dedicated, box ring, ukraine",en,Creed II
Robin Hood,"Otto Bathurst (director); Ben Chandler, David James Kelly (screenplay); Taron Egerton, Jamie Foxx, Ben Mendelsohn, Eve Hewson, Jamie Dornan","Adventure, Romance",1922,,"robber, robin hood, archer, sword fight, silent film",en,Robin Hood
Roma,"Alfonso Cuarón (director/screenplay); Yalitza Aparicio, Marina de Tavira, Jorge Antonio Guerrero",Drama,2018,,"mexico city, mexico, 1970s, middle class, family relationships, black and white, maid, autobiographical, master servant relationship, domestic worker",es,Roma
The Favourite,"Yorgos Lanthimos (director); Deborah Davis, Tony McNamara (screenplay); Olivia Colman, Emma Stone, Rachel Weisz","History, Comedy, Drama",2018,,"great britain, queen, rivalry, rabbit, lgbt, 18th century, cousin relationship, duchess, palace intrigue, aristocracy, british monarchy, war of the spanish succession, drop disease, queen anne",en,The Favourite
Mowgli: Legend of the Jungle,"Andy Serkis (director); Callie Kloves (screenplay); Christian Bale, Cate Blanchett, Benedict Cumberbatch, Naomie Harris, Andy Serkis, Matthew Rhys, Freida Pinto, Rohan Chand","Adventure, Drama",2018,,"based on novel or book, hunter, wolf, tiger, coming of age, anthropomorphism, jungle, bear, python, live action remake",en,Mowgli: Legend of the Jungle
The Possession of Hannah Grace,"Diederik van Rooijen (director); Brian Sieve (screenplay); Shay Mitchell, Grey Damon, Kirby Johnson, Stana Katic","Horror, Drama",2018,,"rehabilitation, morgue, cop, drug rehabilitation, hospital, corpse, police officer, entity, graveyard shift",en,The Possession of Hannah Grace
The Cabin,"Johan Bodell (director); Erik Kammerland (screenplay); Christopher Lee Page, Caitlin Crommett, Erik Kammerland, Thomas Hedengra",Horror,2024,,,en,The Cabin
Mary Queen of Scots,"Josie Rourke (director); Beau Willimon (screenplay); Saoirse Ronan, Margot Robbie, Jack Lowden, Joe Alwyn, David Tennant, Guy Pearce","Drama, History",2018,,"based on novel or book, scotland, cousin, royal family, biography, queen elizabeth i, tudor, female prisoner, burlesque, cousin relationship, woman director, 16th century, british monarchy, house of stuart, apathetic",en,Mary Queen of Scots
Ben Is Back,"Peter Hedges (director/screenplay); Julia Roberts, Lucas Hedges, Courtney B. Vance",Drama,2018,,"drug dealer, small town, drug addiction, criticism and blame, drug rehabilitation, church, family conflict, painful memories, temptation, older brother younger sister, family dog, return of son, worry, teenage son, blended family, addiction recovery, mother son relationship, stolen dog, christmas eve, past history, making amends, hopeful, one day, mother's undying love",en,Ben Is Back
Spider-Man: Into the Spider-Verse,"Bob Persichetti, Peter Ramsey, Rodney Rothman (directors); Phil Lord, Rodney Rothman (screenplay); Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali, Brian Tyree Henry, Lily Tomlin, Lauren Vélez, John Mulaney, Kimiko Glenn, Nicolas Cage, Liev Schreiber","Animation, Action, Adventure, Science Fiction",2018,,"superhero, based on comic, aftercreditsstinger, alternate universe",en,Spider-Man: Into the Spider-Verse
Mortal Engines,"Christian Rivers (director); Fran Walsh, Philippa Boyens, Peter Jackson (screenplay); Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae, Ronan Raftery, Leila George, Patrick Malahide, Stephen Lang","Adventure, Science Fiction",2018,,"based on novel or book, dystopia, post-apocalyptic future, revenge, wasteland, steampunk, futuristic vehicle, based on young adult novel",en,Mortal Engines
The Mule,"Clint Eastwood (director); Nick Schenk (screenplay); Clint Eastwood, Bradley Cooper, Laurence Fishburne, Michael Peña, Dianne Wiest, Andy García","Crime, Drama",2018,,"mexico, drug crime, texas, drug mule, based on true story, old man, drug cartel, dea agent, pickup truck, small town sheriff, korean war veteran, based on magazine, newspaper or article, 2000s",en,The Mule
If Beale Street Could Talk,"Barry Jenkins (director/screenplay); KiKi Layne, Stephan James, Colman Domingo, Teyonah Parris, Michael Beach, Dave Franco, Diego Luna, Pedro Pascal, Ed Skrein, Brian Tyree Henry, Regina King","Romance, Drama",2018,,"new york city, based on novel or book, 1970s, romance, flashback, lawyer, harlem, new york city, devoted family man, false imprisonment, love story",en,If Beale Street Could Talk
Mary Poppins Returns,"Rob Marshall (director); David Magee (screenplay); Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Julie Walters, Colin Firth, Meryl Streep","Fantasy, Family, Comedy",2018,,"london, england, based on novel or book, magic, nanny, musical, family relationships, sequel, animated scene, female protagonist, housekeeper, family, discipline, depression era, live action and animation, 1930s",en,Mary Poppins Returns
Aquaman,"James Wan (director); David Leslie Johnson-McGoldrick, Will Beall (screenplay); Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson, Dolph Lundgren, Yahya Abdul-Mateen II, Nicole Kidman","Action, Adventure, TV Movie",2006,,"superhero, based on comic, super power",en,Aquaman
Bumblebee,"Travis Knight (director); Christina Hodson (screenplay); Hailee Steinfeld, John Cena, Jorge Lendeborg Jr., John Ortiz, Jason Drucker, Pamela Adlon","Action, Adventure, Science Fiction",2018,,"technology, based on toy, robot, spin off, duringcreditsstinger, 1980s, adoring",en,Bumblebee
Welcome to Marwen,"Robert Zemeckis (director/screenplay); Caroline Thompson (screenplay); Steve Carell, Leslie Mann, Diane Kruger, Merritt Wever, Janelle Monáe, Eiza González, Gwendoline Christie, Leslie Zemeckis, Siobhan Williams, Neil Jackson","Drama, Comedy",2018,,"coma, rehabilitation, based on true story, fictional war, mental illness, prototype, toy comes to life, toy soldier, toy designer, live action and animation, animatronic, delusions, semi-biographical, hopeful, based on documentary",en,Welcome to Marwen
Second Act,"Peter Segal (director); Justin Zackham, Elaine Goldsmith-Thomas (screenplay); Jennifer Lopez, Leah Remini, Vanessa Hudgens, Treat Williams, Milo Ventimiglia","Romance, Comedy",2018,,"new york city, career woman, forty something, best friend, second chance, job hunting, assistant manager, facebook, career resurrection, finance, street smarts, secret, innovator, passed over for promotion",en,Second Act
Holmes & Watson,"Etan Cohen (director/screenplay); Will Ferrell, John C. Reilly, Rebecca Hall, Rob Brydon, Kelly Macdonald, Steve Coogan, Ralph Fiennes","Drama, Mystery, Thriller, Crime",2012,,,es,Holmes & Watson
Vice,"Adam McKay (director/screenplay); Christian Bale, Amy Adams, Steve Carell, Tyler Perry, Alison Pill, Lily Rabe, Jesse Plemons, Sam Rockwell","Action, Thriller, Crime",2008,,,en,Vice
On the Basis of Sex,"Mimi Leder (director); Daniel Stiepleman (screenplay); Felicity Jones, Armie Hammer, Justin Theroux, Sam Waterston, Kathy Bates","Drama, History",2018,,"1970s, biography, based on true story, supreme court, lawyer, justice, harvard law school, woman director, 1960s, courtroom drama, supreme court justice, inspirational, instructive",en,On the Basis of Sex
Destroyer,"Karyn Kusama (director); Phil Hay, Matt Manfredi (screenplay); Nicole Kidman, Sebastian Stan, Toby Kebbell, Tatiana Maslany, Bradley Whitford, Jade Pettyjohn, Scoot McNairy","Drama, War",,,world war ii,en,Destroyer
